16 4 4
2 D 0 0 0 7 0 0 9 0 0 0 0 G B 5
0 0 0 C 0 0 6 F 0 0 D 4 0 0 0 3
3 0 0 0 0 E 0 0 0 B G 0 0 D A 8
0 0 6 0 0 0 0 0 0 8 2 5 0 9 4 0
0 3 D 0 0 0 0 0 0 0 0 0 0 0 0 G
0 G 0 0 5 C 2 7 0 0 4 6 A 1 0 9
0 0 0 0 1 0 D 0 5 0 A 0 C 7 8 B
0 A 0 9 0 0 F 0 0 0 0 0 2 0 0 0
0 0 0 5 0 0 0 0 0 G 0 0 B 0 1 0
9 6 G 3 0 F 0 4 0 A 0 D 0 0 0 0
B 0 1 D 8 2 0 0 E 3 F 7 0 0 5 0
4 0 0 0 0 0 0 0 0 0 0 0 0 8 3 0
0 1 A 0 3 5 B 0 0 0 0 0 0 4 0 0
D 9 E 0 0 4 7 0 0 0 C 0 0 0 0 2
7 0 0 0 E 6 0 0 D F 0 0 8 0 0 0
8 5 2 0 0 0 0 9 0 0 1 0 0 0 7 6
